대공원,37.435675,127.006523,437
과천,37.433021,126.996568,438
정부과천청사,37.426513,126.98978,439
인덕원,37.401553,126.976715,440
평촌,37.394287,126.963883,441
범계,37.389793,126.950806,442
구로,37.503039,126.881966,141
금천구청,37.455626,126.89398,P144
석수,37.435047,126.902295,P145
관악,37.419232,126.908706,P146
안양,37.401592,126.922874,P147
명학,37.384653,126.935433,P148
군포,37.35356,126.948462,P150
의왕,37.320852,126.948217,P152
화서,37.283862,126.989627,P154
독산,37.466613,126.889249,P143
세류,37.245025,127.013222,P156
병점,37.207503,127.032731,P157
세마,37.187533,127.04318,P158
오산대,37.168953,127.063197,P159
오산,37.145885,127.06672,P160
진위,37.109447,127.062278,P161
송탄,37.075696,127.054301,P162
서정리,37.056496,127.052819,P163
평택,36.990726,127.085159,P165
성환,36.916076,127.126964,P166
직산,36.870593,127.143904,P167
두정,36.833705,127.14896,P168
천안,36.810005,127.146826,P169
당정,37.344285,126.948345,P151
서동탄,37.195504,127.051672,P157-1
광명,37.416182,126.884466,P144-1
산본,37.358101,126.933274,444
대야미,37.328467,126.917332,446
반월,37.312212,126.903524,447
상록수,37.302795,126.866489,448
한대앞,37.309689,126.85344,449
중앙,37.315941,126.838573,450
고잔,37.316777,126.823249,451
초지,37.320646,126.805913,452
안산,37.327082,126.788532,453
신길온천,37.338212,126.765844,454
정왕,37.351735,126.742989,455
수리산,37.349801,126.925365,445
개봉,37.494594,126.85868,143
오류동,37.494526,126.845365,144
역곡,37.485178,126.811502,146
부천,37.48405,126.782686,148
송내,37.4876,126.753664,150
백운,37.483664,126.707704,153
동암,37.471408,126.702896,154
제물포,37.466769,126.656666,158
동인천,37.475276,126.632802,160
부개,37.488418,126.74109,151
간석,37.464737,126.694181,155
도원,37.468446,126.642706,159
중동,37.486562,126.764843,149
도화,37.46607,126.668672,157
소사,37.482753,126.79544,147
방학,37.667503,127.044273,115
도봉,37.679563,127.045595,114
망월사,37.709914,127.047455,112
의정부,37.738415,127.045958,110
가능,37.748577,127.044213,109
녹양,37.75938,127.042292,108
양주,37.774381,127.044708,107
덕계,37.818486,127.056486,106
덕정,37.843188,127.061277,105
지행,37.892334,127.055716,104
동두천중앙,37.901885,127.056482,103
보산,37.913702,127.057277,102
동두천,37.927878,127.05479,101
소요산,37.9481,127.061034,100
원당,37.653324,126.843041,316
백석,37.643114,126.78787,313
마두,37.652206,126.77762,312
정발산,37.659477,126.773359,311
주엽,37.670072,126.761334,310
대화,37.676087,126.747569,309
방화,37.577446,126.812741,510
개화산,37.572399,126.806171,511
송정,37.561184,126.811973,513
마곡,37.560183,126.825448,514
발산,37.558598,126.837668,515
우장산,37.548768,126.836318,516
화곡,37.541513,126.840461,517
신정,37.524997,126.856191,519
목동,37.526065,126.864931,520
오목교,37.524496,126.875181,521
양평,37.525648,126.885778,522
여의나루,37.527098,126.932901,527
마포,37.539574,126.945932,528
애오개,37.553736,126.95682,530
서대문,37.565773,126.966641,532
광화문,37.571026,126.976669,533
신금호,37.554548,127.020331,538
행당,37.557322,127.029476,539
마장,37.5661,127.042973,541
답십리,37.566747,127.052704,542
장한평,37.56144,127.064623,543
아차산,37.551691,127.089761,545
광나루,37.545303,127.10357,546
강동,37.535804,127.132481,548
길동,37.537801,127.140004,549
굽은다리,37.545477,127.142853,550
명일,37.55137,127.143999,551
고덕,37.555004,127.154151,552
둔촌동,37.527788,127.136248,P549
올림픽공원,37.516078,127.130848,936
방이,37.508857,127.126133,P551
개롱,37.498079,127.13482,P553
거여,37.493105,127.14415,P554
마천,37.49499,127.152781,P555
응암,37.598605,126.915577,610
역촌,37.606021,126.922744,611
독바위,37.618456,126.933031,613
구산,37.611377,126.91727,615
